	rtscts	standard	datarate	verbose	rng	thr1	pkl1	thr2	pkl2
0	False	2	1	True	25	0.341753 Mbps	0 %	0.341753 Mbps	0 %
1	True	2	1	True	10	0.341753 Mbps	0 %	0.341753 Mbps	0 %
2	True	1	4	True	7	0.621369 Mbps	54.6364 %	0.664316 Mbps	51.501 %
3	False	0	1	True	15	0.341753 Mbps	0 %	0.341753 Mbps	0 %
4	False	2	4	True	27	0.907381 Mbps	33.7558 %	1.35879 Mbps	0.800534 %
5	True	2	2	True	11	0.678023 Mbps	0.934579 %	0.68442 Mbps	0 %
6	False	1	4	True	22	0.0868089 Mbps	93.6624 %	0.201945 Mbps	85.2568 %
7	False	1	16	True	24	0.0392924 Mbps	99.2832 %	0.0639644 Mbps	98.8331 %
8	False	1	1	True	20	0.320736 Mbps	6.14973 %	0.211083 Mbps	38.2353 %
9	False	0	2	True	16	0.68442 Mbps	0 %	0.682592 Mbps	0.267023 %
10	True	0	4	True	2	1.36975 Mbps	0 %	1.36793 Mbps	0.133422 %
11	False	2	8	True	28	2.71026 Mbps	1.10037 %	2.65727 Mbps	3.03434 %
12	False	1	2	True	21	0.357287 Mbps	47.7971 %	0.4112 Mbps	39.9199 %
13	True	1	8	True	8	0.563801 Mbps	79.4265 %	0.741074 Mbps	72.9577 %
14	False	1	8	True	23	0.330788 Mbps	87.9293 %	0.392011 Mbps	85.6952 %
15	True	1	2	True	6	0.536388 Mbps	21.6288 %	0.666144 Mbps	2.67023 %
16	True	1	16	True	9	0.78859 Mbps	85.6143 %	0.570197 Mbps	89.5983 %
17	False	0	8	True	18	2.72854 Mbps	0.433478 %	2.72489 Mbps	0.566856 %
18	False	0	4	True	17	1.36793 Mbps	0.133422 %	1.36518 Mbps	0.333556 %
19	False	2	2	True	26	0.682592 Mbps	0.267023 %	0.455975 Mbps	33.3778 %
20	False	0	16	True	19	4.48574 Mbps	18.1697 %	4.49853 Mbps	17.9363 %
21	True	2	8	True	13	1.69689 Mbps	38.0794 %	1.2537 Mbps	54.2514 %
22	True	0	2	True	1	0.68442 Mbps	0 %	0.68442 Mbps	0 %
23	True	0	1	True	0	0.341753 Mbps	0 %	0.341753 Mbps	0 %
24	True	0	8	True	3	2.73402 Mbps	0.233411 %	2.74042 Mbps	0 %
25	True	1	1	True	5	0.341753 Mbps	0 %	0.338098 Mbps	1.06952 %
26	True	2	4	True	12	1.24365 Mbps	9.20614 %	1.2802 Mbps	6.53769 %
27	True	2	16	True	14	2.01854 Mbps	63.1772 %	1.29391 Mbps	76.3961 %
28	False	2	16	True	29	3.59663 Mbps	34.3891 %	3.43032 Mbps	37.4229 %
29	True	0	16	True	4	5.12447 Mbps	6.51775 %	1.9564 Mbps	64.3107 %
