	rtscts	standard	datarate	verbose	rng	thr1	pkl1	thr2	pkl2
0	False	1	50	True	22	0.00274133 Mbps	99.984 %	17.0986 Mbps	0.197344 %
1	True	1	25	True	6	8.56301 Mbps	0.0320034 %	8.53651 Mbps	0.34137 %
2	True	0	25	True	1	8.5621 Mbps	0.0426712 %	8.5091 Mbps	0.661404 %
3	False	0	100	True	18	25 Mbps	27.0407 %	0 Mbps	100 %
4	True	1	10	True	5	3.42393 Mbps	0.0533476 %	3.41844 Mbps	0.21339 %
5	True	1	100	True	8	12.8103 Mbps	62.615 %	11.6242 Mbps	66.0764 %
6	False	1	10	True	20	3.42027 Mbps	0.160043 %	2.28353 Mbps	33.3422 %
7	False	2	50	True	27	17.1096 Mbps	0.13334 %	0.00274133 Mbps	99.984 %
8	False	1	25	True	21	8.55296 Mbps	0.149349 %	0.00274133 Mbps	99.968 %
9	False	1	100	True	23	25.0019 Mbps	27.0354 %	0 Mbps	100 %
10	False	0	10	True	15	3.42027 Mbps	0.160043 %	3.42575 Mbps	0 %
11	False	2	10	True	25	3.42393 Mbps	0.0533476 %	2.28262 Mbps	33.3689 %
12	True	0	10	True	0	3.41936 Mbps	0.186716 %	3.42301 Mbps	0.0800213 %
13	True	0	50	True	2	8.72201 Mbps	49.0906 %	15.717 Mbps	8.26177 %
14	True	2	100	True	13	33.394 Mbps	2.54407 %	34.1698 Mbps	0.280007 %
15	False	0	50	True	17	17.1279 Mbps	0.0266681 %	0.00274133 Mbps	99.984 %
16	True	0	100	True	3	13.3868 Mbps	60.9323 %	11.3382 Mbps	66.9111 %
17	False	2	25	True	26	8.54656 Mbps	0.224024 %	8.53286 Mbps	0.384041 %
18	False	0	25	True	16	5.70289 Mbps	33.4222 %	8.52646 Mbps	0.458716 %
19	True	2	25	True	11	8.5493 Mbps	0.19202 %	8.36107 Mbps	2.38959 %
20	True	1	50	True	7	16.4699 Mbps	3.86687 %	6.48782 Mbps	62.1313 %
21	False	2	100	True	28	34.2393 Mbps	0.0773354 %	11.3784 Mbps	66.7938 %
22	False	0	200	True	19	8.79511 Mbps	87.1665 %	9.19078 Mbps	86.5892 %
23	True	2	200	True	14	28.7776 Mbps	58.0088 %	25.4734 Mbps	62.8302 %
24	False	2	200	True	29	0 Mbps	100 %	67.7411 Mbps	1.15468 %
25	False	1	200	True	24	0 Mbps	100 %	25.6982 Mbps	62.5022 %
26	True	2	10	True	10	3.42301 Mbps	0.0800213 %	3.41844 Mbps	0.21339 %
27	True	1	200	True	9	15.2464 Mbps	77.753 %	9.87154 Mbps	85.5958 %
28	True	0	200	True	4	8.68272 Mbps	87.3305 %	15.3286 Mbps	77.633 %
29	True	2	50	True	12	17.1141 Mbps	0.106672 %	16.9232 Mbps	1.2214 %
