	rtscts	standard	datarate	verbose	rng	thr1	pkl1	thr2	pkl2
0	False	1	1	True	20	0.311598 Mbps	8.82353 %	0.211996 Mbps	38.4615 %
1	False	1	2	True	21	0.266823 Mbps	61.0147 %	0.370994 Mbps	46.1538 %
2	True	2	1	True	10	0.341753 Mbps	0 %	0.333529 Mbps	3.18302 %
3	True	1	4	True	7	0.465113 Mbps	66.044 %	0.801383 Mbps	41.882 %
4	True	1	16	True	9	0.560146 Mbps	89.7816 %	0.804124 Mbps	85.4281 %
5	True	1	8	True	8	0.761177 Mbps	72.2241 %	0.626852 Mbps	77.2772 %
6	False	2	8	True	28	2.43522 Mbps	11.137 %	1.6777 Mbps	39.1852 %
7	True	2	8	True	13	1.55708 Mbps	43.1811 %	1.41544 Mbps	48.6916 %
8	True	0	1	True	0	0.341753 Mbps	0 %	0.344494 Mbps	0 %
9	False	1	16	True	24	0.0484302 Mbps	99.1165 %	0.100516 Mbps	98.1785 %
10	True	0	4	True	2	1.36975 Mbps	0 %	1.37798 Mbps	0.0662691 %
11	True	2	16	True	14	1.22994 Mbps	77.5629 %	2.04503 Mbps	62.9409 %
12	False	2	2	True	26	0.682592 Mbps	0.267023 %	0.458716 Mbps	33.4218 %
13	False	0	4	True	17	1.36701 Mbps	0.200133 %	1.36518 Mbps	0.994036 %
14	True	1	2	True	6	0.660661 Mbps	3.4713 %	0.563801 Mbps	18.1698 %
15	False	0	2	True	16	0.68442 Mbps	0 %	0.688988 Mbps	0 %
16	False	2	4	True	27	1.35879 Mbps	0.800534 %	0.914692 Mbps	33.6647 %
17	True	1	1	True	5	0.341753 Mbps	0 %	0.331701 Mbps	3.71353 %
18	True	2	2	True	11	0.683506 Mbps	0.133511 %	0.688988 Mbps	0 %
19	False	2	1	True	25	0.341753 Mbps	0 %	0.344494 Mbps	0 %
20	True	0	2	True	1	0.68442 Mbps	0 %	0.688988 Mbps	0 %
21	False	0	1	True	15	0.341753 Mbps	0 %	0.344494 Mbps	0 %
22	False	1	4	True	22	0.594869 Mbps	56.571 %	0.188238 Mbps	86.3486 %
23	False	0	16	True	19	3.94295 Mbps	28.0713 %	4.9015 Mbps	11.1773 %
24	False	1	8	True	23	0.838848 Mbps	69.3898 %	0.327132 Mbps	88.1418 %
25	True	0	16	True	4	1.62561 Mbps	70.3451 %	5.38398 Mbps	2.43418 %
26	False	0	8	True	18	2.72397 Mbps	0.6002 %	2.74225 Mbps	0.596224 %
27	True	0	8	True	3	2.73494 Mbps	0.200067 %	2.75687 Mbps	0.0662471 %
28	True	2	4	True	12	1.26558 Mbps	7.60507 %	1.29939 Mbps	5.76541 %
29	False	2	16	True	29	3.02186 Mbps	44.8741 %	3.73918 Mbps	32.2404 %
