	rtscts	standard	datarate	verbose	rng	thr1	pkl1	thr2	pkl2
0	False	2	1	True	25	0.14986 Mbps	56.1497 %	0.0283271 Mbps	91.7772 %
1	True	0	1	True	0	0.341753 Mbps	0 %	0.344494 Mbps	0 %
2	False	1	8	True	23	0.559232 Mbps	79.5932 %	0.0566542 Mbps	97.9463 %
3	False	0	2	True	16	0.307943 Mbps	55.0067 %	0.331701 Mbps	51.8568 %
4	False	1	16	True	24	0.566542 Mbps	89.6649 %	0.0557404 Mbps	98.9899 %
5	False	2	8	True	28	0.942105 Mbps	65.6219 %	0.0374649 Mbps	98.6419 %
6	True	0	2	True	1	0.68442 Mbps	0 %	0.688988 Mbps	0 %
7	False	0	1	True	15	0.278702 Mbps	18.4492 %	0.28053 Mbps	18.5676 %
8	False	0	4	True	17	0.299719 Mbps	78.1187 %	0.32896 Mbps	76.1431 %
9	False	1	1	True	20	0.0639644 Mbps	81.2834 %	0.0767573 Mbps	77.7188 %
10	True	2	1	True	10	0.341753 Mbps	0 %	0.344494 Mbps	0 %
11	False	0	16	True	19	2.06331 Mbps	62.3604 %	0.25403 Mbps	95.3966 %
12	False	1	2	True	21	0.286926 Mbps	58.0774 %	0.0484302 Mbps	92.9708 %
13	False	2	2	True	26	0.249461 Mbps	63.5514 %	0.0274133 Mbps	96.0212 %
14	False	1	4	True	22	0.498923 Mbps	63.5757 %	0.0548267 Mbps	96.0239 %
15	True	1	8	True	8	0.563801 Mbps	79.4265 %	0.670713 Mbps	75.6873 %
16	False	2	16	True	29	1.86137 Mbps	66.0443 %	0.0319822 Mbps	99.4204 %
17	True	0	4	True	2	1.36793 Mbps	0.133422 %	1.37524 Mbps	0.265076 %
18	False	0	8	True	18	1.134 Mbps	58.6195 %	0.203772 Mbps	92.6134 %
19	True	1	16	True	9	0.793159 Mbps	85.5309 %	0.372821 Mbps	93.2439 %
20	True	1	4	True	7	0.443182 Mbps	67.6451 %	0.603093 Mbps	56.2624 %
21	False	2	4	True	27	0.482475 Mbps	64.7765 %	0.0338098 Mbps	97.548 %
22	True	1	1	True	5	0.341753 Mbps	0 %	0.339925 Mbps	1.32626 %
23	True	1	2	True	6	0.466027 Mbps	31.9092 %	0.640558 Mbps	7.02918 %
24	True	2	2	True	11	0.68442 Mbps	0 %	0.687161 Mbps	0.265252 %
25	True	2	4	True	12	1.27015 Mbps	7.27151 %	1.21624 Mbps	11.7959 %
26	True	2	8	True	13	1.50773 Mbps	44.9817 %	1.21624 Mbps	55.9126 %
27	True	2	16	True	14	1.74166 Mbps	68.228 %	1.26101 Mbps	77.1485 %
28	True	0	8	True	3	2.74042 Mbps	0 %	2.75504 Mbps	0.132494 %
29	True	0	16	True	4	5.05867 Mbps	7.71795 %	2.00483 Mbps	63.6695 %
